,CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20
CAG90,-11.98554292,-11.93938087,-11.9699176,-11.90974908,-11.70576602,-11.0931577,-8.121200454,-11.7927774,-11.75664169,-11.5601551,-11.8692191,-11.86455708,-11.9318902,-11.87155828,-11.96476295,-11.87860884,-11.97509896,-11.92445522,-11.94189029,-11.74213367
CAG91,-11.87155828,-11.81245017,-11.83929742,-11.8692191,-11.83929742,-11.12151293,-8.090727483,-11.83477252,-11.81024509,-11.50023702,-11.89047137,-11.93687774,-11.92198913,-11.94189029,-11.87625312,-11.94692808,-11.87155828,-11.9699176,-11.86455708,-11.74007817
CAG92,-11.8599167,-11.9960971,-11.97769974,-11.87860884,-11.75873156,-11.12594753,-8.084551666,-11.75039818,-11.72986357,-11.57223463,-12.00408649,-11.90247632,-11.87625312,-11.96476295,-11.7927774,-11.91952911,-11.9699176,-11.96733695,-11.91952911,-11.75664169
CAG93,-11.92940573,-11.87155828,-11.99875315,-11.7756096,-11.75247502,-11.14728467,-8.092277415,-11.8257837,-11.7339369,-11.60577705,-11.8599167,-11.91218513,-11.85299626,-11.91707512,-11.90247632,-11.9048947,-11.99080609,-11.9318902,-11.97250492,-11.8036589
CAG94,-11.8692191,-12.01214023,-11.83026801,-11.87860884,-11.78415666,-11.13375571,-8.101142007,-11.78415666,-11.70378386,-11.54314789,-11.84384288,-11.95708045,-12.03669808,-11.83929742,-11.89047137,-11.89525607,-11.93438086,-11.90247632,-11.92198913,-11.75873156
CAG95,-11.95199138,-11.98292168,-11.89286086,-11.84384288,-11.75664169,-11.19256228,-8.076148033,-11.84612338,-11.79494425,-11.64607554,-11.89047137,-11.94692808,-11.93938087,-11.75455619,-11.88570946,-11.89765703,-11.8257837,-11.8257837,-11.88097011,-11.84156756
CAG96,-11.91462714,-11.9699176,-11.9699176,-11.83026801,-11.7157362,-11.13151857,-8.095545479,-11.80584948,-11.68029942,-11.48421103,-11.89765703,-11.76502749,-11.89765703,-11.92445522,-11.88333698,-11.90006377,-11.9960971,-11.9318902,-11.94692808,-11.69983129
CAG97,-11.779874,-11.88097011,-11.91707512,-11.87625312,-11.81024509,-11.14842038,-8.119330267,-11.70775212,-11.68806645,-11.4954022,-11.90247632,-11.83477252,-11.81687495,-11.98817104,-11.90974908,-11.90974908,-11.89047137,-11.8484091,-11.94189029,-11.7339369
CAG98,-11.89525607,-11.94692808,-11.87155828,-11.86688537,-11.80804487,-11.13151857,-8.08444552,-11.76292444,-11.7927774,-11.54314789,-11.89525607,-11.96219555,-11.87390294,-11.8036589,-11.9048947,-11.88570946,-11.97250492,-11.88808758,-11.91952911,-11.8213194
CAG99,-11.95453268,-11.87390294,-11.82802334,-11.8213194,-11.76292444,-11.1842831,-8.102329912,-11.71373419,-11.79929208,-11.63492301,-11.87860884,-11.78415666,-11.89525607,-12.01483929,-11.88097011,-11.87860884,-11.89765703,-11.9803073,-11.95963473,-11.87860884
CAG100,-11.88808758,-11.81909471,-11.92198913,-11.93438086,-11.72580677,-11.09854855,-8.088806765,-11.73189816,-11.75873156,-11.58095308,-11.84156756,-12.00408649,-11.9699176,-11.89286086,-11.90006377,-11.8622342,-11.84612338,-11.94692808,-11.8692191,-11.93687774
