16764,20,,,,,,,,,,,,,,,,,,,
CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20,ZYGOSITY
215,224,256,1210,1843,8456,230172,579,1021,1008,351,513,499,464,354,372,393,423,513,1298,HOMO
22,79,81,848,845,8145,137856,11176,115383,1020,115,138,36,42,37,26,26,26,25,24,HETERO
253,212,393,1091,2865,17501,201190,5089,3070,15868,153610,1836,1175,1572,936,825,751,596,522,895,HETERO
16,11,10,55,125,1300,18430,413,94,267,38,22,19,24,21,14,14,7,16,33,HOMO
131,153,712,12897,3900,14335,306212,4796,2162,3453,849,1233,1176,1199,1223,1299,1536,2479,2898,6556,HOMO
68,74,369,11059,3141,7385,143043,1709,902,1411,345,501,444,404,315,365,486,492,640,2492,HOMO
120,121,696,15181,3393,9887,211606,4210,1495,2345,648,865,918,804,888,1095,1497,1768,1380,3730,HOMO
110,116,118,264,386,1541,45529,251,234,293,140,166,143,143,131,155,156,138,117,291,HOMO
0,0,0,0,1,16,458,2,0,1,0,0,0,0,0,0,0,0,0,0,HOMO
56,55,136,149,184,333,1205,876,8920,132375,922,445,3693,1097,3957,932,751,689,699,4155,HOMO
16,17,9,75,109,575,19665,66,63,77,13,26,27,26,16,15,16,15,22,76,HOMO
1587,1586,1515,1791,1811,3154,50192,1676,1762,1812,1513,1506,1622,1645,1554,1529,1600,1641,1589,1716,HOMO
177,176,170,184,206,343,6327,201,185,210,162,156,141,173,166,182,187,174,172,170,HOMO
207,203,208,575,1690,7727,97509,9301,134985,27273,882,810,687,472,366,243,215,205,199,412,HETERO
9,20,14,75,45,263,9455,116,554,8689,124,94,239,109,107,117,136,146,309,324,HETERO
29,31,62,360,132,1008,29800,240,128,945,175,297,290,302,331,316,271,360,653,453,HOMO
340,361,354,353,369,531,6975,742,7954,403,366,337,354,348,338,356,340,358,322,355,HETERO
8,20,83,276,511,3999,23678,6765,52790,38749,309,107,119,24,23,18,15,4,21,10,HETERO
31,13,50,291,490,3351,99610,128,276,408,46,108,102,80,64,63,44,37,51,256,HOMO
39,33,41,74,76,483,8344,103,76,159,40,33,47,42,45,35,40,42,39,90,HOMO
16,20,29,91,149,724,5307,152,277,3057,63,45,40,36,30,16,30,16,23,41,HETERO
22,43,197,5508,1456,3684,84721,1175,514,824,277,583,657,339,244,205,274,268,310,1283,HETERO
15,156,21,455,81,1338,58500,427,2964,54313,338,305,621,136,284,253,376,780,136,1025,HETERO
30,21,314,8290,1992,6919,165044,2102,813,1570,410,559,509,377,485,485,404,440,491,1971,HETERO
136,163,316,1736,638,4266,134329,1040,544,3634,775,1275,1244,1268,1385,1292,1252,1489,2776,1870,HOMO
18,22,197,4613,1429,5596,127775,1825,986,1561,374,513,484,452,505,640,892,981,669,1568,HOMO
14,22,39,259,114,538,15089,273,1272,17573,251,235,591,265,316,301,349,347,309,1379,HETERO
37,28,18,16,67,1063,34063,111,60,145,53,27,15,20,25,28,37,32,44,96,HOMO
96,44,140,326,866,6264,89943,1159,441,1743,305,219,213,133,107,73,74,64,50,133,HOMO
31,30,42,100,315,1671,28571,450,1720,25818,155,102,125,70,62,60,43,32,37,64,HETERO
10,11,17,206,262,1621,47162,74,169,410,42,45,48,40,37,31,35,37,20,75,HOMO
21,35,312,10137,3035,5830,95773,1668,6012,89725,678,401,402,339,280,265,288,379,545,1831,HOMO
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,HETERO
0,0,0,0,0,7,105,0,0,0,0,1,0,0,0,0,0,0,0,1,HOMO
26,54,67,42,66,185,347,1269,24430,14897,229,1089,905,151,175,182,181,167,141,679,HETERO
80,46,116,1018,446,5461,125726,939,499,1696,367,609,575,504,452,453,409,589,1158,980,HOMO
56,75,539,13039,3108,7215,117800,3189,8598,127671,2451,2123,2225,1029,746,714,745,890,1148,4856,HETERO
0,0,0,22,6,72,2424,26,3,21,1,6,1,3,8,1,1,0,1,13,HETERO
31,51,294,9372,2573,6338,136516,1805,957,1992,269,372,399,371,263,333,346,404,493,1818,HOMO
186,260,1395,33167,11839,35259,636968,10907,4923,19530,1519,2221,2107,1798,1710,1638,1548,1767,2301,7936,HETERO
0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,HETERO
120,121,696,15181,3393,9887,211606,4210,1495,2345,648,865,918,804,888,1095,1497,1768,1380,3730,HOMO
0,0,0,45,10,93,3020,33,13,22,0,9,6,4,3,6,2,1,5,21,HETERO
143,183,1035,22190,6909,21249,484951,7502,2556,4913,1284,1856,1622,1733,2383,3558,4542,2610,2134,5946,HOMO
140,217,274,680,427,2725,88310,1351,4859,66911,1212,1122,2559,1145,1384,1364,1200,1251,1575,5752,HETERO
