16081,20,,,,,,,,,,,,,,,,,,,
CCG1,CCG2,CCG3,CCG4,CCG5,CCG6,CCG7,CCG8,CCG9,CCG10,CCG11,CCG12,CCG13,CCG14,CCG15,CCG16,CCG17,CCG18,CCG19,CCG20,ZYGOSITY
24,20,65,849,1442,6850,205985,368,747,526,101,222,187,136,129,146,121,148,224,710,HOMO
24,27,35,481,658,4270,123574,263,389,485,129,163,133,127,106,95,107,103,159,528,HOMO
17,22,61,675,1149,4708,117939,375,368,471,101,234,254,260,209,182,161,183,213,535,HOMO
9,8,36,250,457,2003,50030,377,2056,32384,87,91,61,55,51,33,29,26,29,56,HETERO
28,75,168,699,1337,8459,194262,1187,877,2017,218,243,176,160,137,131,156,134,141,323,HOMO
13,18,13,47,99,810,29912,152,1788,33501,27,7,16,6,4,3,4,0,3,22,HETERO
70,67,140,1472,2416,8482,169098,1501,7392,113985,495,603,719,725,576,524,506,466,521,1170,HETERO
27,36,58,562,864,3618,75803,576,3435,50734,213,309,288,237,155,148,131,132,175,470,HETERO
31,20,73,893,1454,7409,247517,400,750,714,136,153,145,134,116,114,105,114,168,463,HOMO
1,10,25,258,444,1625,39691,638,674,21664,386,98,105,93,65,60,29,41,41,73,HETERO
30,21,23,259,477,2499,68653,1632,1678,51787,1039,150,132,82,79,47,51,33,96,346,HETERO
6,11,37,253,412,1774,41340,375,3864,60143,160,138,116,83,49,61,59,94,160,565,HETERO
5,1,7,83,122,1295,41882,62,227,211,43,56,28,29,25,14,35,48,89,343,HOMO
13,16,33,339,594,2775,69357,4473,90147,7385,83,251,121,51,67,63,62,107,188,708,HETERO
31,43,41,420,709,2736,58186,672,4887,82796,166,158,174,99,98,90,95,135,206,812,HETERO
2,10,8,92,162,903,26322,55,105,100,14,14,20,14,19,18,15,10,17,33,HOMO
31,13,50,291,490,3351,99610,128,276,408,46,108,102,80,64,63,44,37,51,256,HOMO
41,15,32,306,503,3098,85712,121,362,305,50,84,88,65,46,65,41,51,59,179,HOMO
33,17,54,508,781,3925,118558,239,391,595,142,187,160,132,113,85,106,103,120,466,HOMO
10,11,17,206,262,1621,47162,74,169,410,42,45,48,40,37,31,35,37,20,75,HOMO
22,17,34,364,611,3675,112606,186,370,396,76,139,90,101,71,61,95,79,109,431,HOMO
15,27,80,349,630,3865,82152,626,558,1139,75,132,112,104,89,100,54,78,113,420,HOMO
45,84,147,1288,2078,7173,143866,1654,7894,117183,398,510,465,384,336,283,245,235,219,494,HETERO
82,60,125,986,1752,5894,127160,1609,7555,112024,405,699,491,257,253,215,199,191,166,331,HETERO
92,58,121,1603,2566,11603,331760,679,1373,1338,310,558,432,329,325,275,271,278,191,471,HOMO
28,31,42,352,594,2887,78137,579,4064,67056,138,111,113,87,82,87,46,55,75,257,HETERO
20,58,207,709,1422,8296,158163,1362,762,1996,102,190,204,193,188,134,120,177,256,1085,HOMO
2,0,0,2,1,4,191,3,9,349,1,0,0,1,0,0,2,2,1,4,HETERO
29,22,46,353,606,2427,60376,448,3376,48560,181,225,164,120,93,86,102,96,157,462,HETERO
8,13,27,430,608,2849,66952,2098,1551,52081,962,280,282,180,159,136,135,156,202,700,HETERO
8,7,13,144,196,846,23432,287,286,11747,114,51,48,42,29,35,45,37,28,76,HETERO
14,26,58,613,880,4194,107790,2491,2105,69021,1269,401,401,290,242,207,191,212,300,944,HETERO
13,8,39,421,722,2917,96769,175,248,295,86,132,76,67,67,59,61,63,59,170,HOMO
501,526,520,559,596,1285,16646,733,600,778,484,520,519,531,496,553,474,526,533,570,HOMO
55,58,69,125,150,637,13511,253,1248,19031,117,85,71,77,71,52,66,71,67,173,HETERO
196,179,195,278,317,1323,41863,299,265,347,178,203,206,174,227,196,202,195,192,294,HOMO
317,297,314,354,435,1610,45010,449,413,497,317,307,330,313,303,319,310,298,359,527,HOMO
1065,1105,1096,1166,1182,1733,19501,1284,2390,23227,1131,1085,1070,1186,1091,1060,1167,1091,1138,1170,HETERO
353,380,395,613,923,2343,60263,1059,3425,54191,453,357,390,394,377,329,400,425,393,485,HETERO
1587,1586,1515,1791,1811,3154,50192,1676,1762,1812,1513,1506,1622,1645,1554,1529,1600,1641,1589,1716,HOMO
10,23,28,86,138,514,12491,141,545,10167,28,38,44,31,28,28,31,24,24,34,HETERO
499,473,462,575,579,1262,25985,644,602,650,494,545,517,537,499,556,509,485,522,671,HOMO
107,87,148,309,435,1098,23792,599,2265,36177,195,180,204,152,158,161,174,169,162,627,HETERO
93,82,100,106,125,357,6152,104,108,120,99,67,96,90,100,72,66,81,85,90,HOMO
2821,2598,2491,2484,2583,3163,25949,2626,2471,2517,2457,2509,2407,2398,2411,2479,2487,2499,2521,2529,HOMO
370,351,374,380,422,520,4714,418,744,6990,429,329,328,340,354,382,352,329,329,392,HETERO
271,297,280,376,438,703,10010,423,1034,13299,296,258,318,310,285,288,307,295,284,321,HETERO
89,101,98,243,374,1718,50938,289,190,283,131,136,132,130,107,113,105,84,148,319,HOMO
71,59,77,73,90,279,7452,114,63,100,66,80,58,68,80,79,92,49,67,145,HOMO
69,64,76,76,135,385,8593,177,553,8092,89,64,93,74,76,94,84,68,93,152,HETERO
98,95,85,133,185,760,17764,190,136,334,86,119,75,92,106,90,99,95,108,166,HOMO
121,157,137,224,274,899,24329,229,243,242,151,147,179,151,166,141,153,139,179,351,HOMO
137,146,149,195,198,456,9340,801,11520,268,132,170,185,185,164,161,201,162,241,610,HETERO
151,171,185,185,223,949,17978,341,218,391,189,185,183,188,212,127,185,171,165,256,HOMO
922,906,868,792,773,896,2409,938,3017,1225,781,842,832,862,831,812,820,823,779,908,HETERO
360,344,344,358,354,505,6138,644,6702,1468,358,332,353,322,283,317,318,307,343,338,HETERO
319,329,310,361,283,613,11425,393,322,315,247,299,314,257,296,335,294,269,280,399,HOMO
104,97,97,159,215,655,18732,172,156,205,120,117,123,96,101,111,85,87,121,185,HOMO
49,43,46,119,202,724,17850,1145,18227,4460,69,110,93,61,51,47,72,34,53,84,HETERO
324,341,368,404,413,1183,19447,509,408,544,395,372,383,355,356,346,391,325,368,549,HOMO
1703,1678,1727,1763,1692,2094,14146,1710,1764,1743,1704,1785,1717,1657,1768,1747,1744,1663,1728,1787,HOMO
